"ratebeer_ABV","ratebeer_Added","ratebeer_Score","ratebeer_Style%","ratebeer_rank","ratebeer_beer_name","ratebeer_beer_type"
"1",7.5,"5/29/2013",3.55,98,257,"#MashTag 2013","7.5% Brown Ale"
"2",9,"6/4/2014",3.68,89,210,"#MashTag 2014","9% American Strong Ale"
"3",10,"7/24/2015",3.72,90,223,"#MashTag 2015","10% Barley Wine"
"4",10.5,"6/22/2016",3.66,82,88,"#MashTag 2016","10.5% Imperial IPA"
"5",7.7,"5/9/2013",3.38,94,102,"10 Heads High","7.7% Amber Ale"
"6",5.2,"10/19/2013",3.54,96,44,"12 Hop Pale Ale","5.2% American Pale Ale"
"7",5,"7/23/2009",3.61,99,1756,"5 A.M. Saint","5% Amber Ale"
"8",4.9,"1/23/2009",3.14,88,515,"77 Lager","4.9% Premium Lager"
"9",3.4,"9/17/2010",2.73,45,73,"77 Lager","3.4% Pilsener"
"10",18,"6/15/2010",3.54,62,165,"Abstrakt AB:02","18% Barley Wine"
"11",10.5,"8/27/2010",3.43,94,151,"Abstrakt AB:03","10.5% Fruit Beer"
"12",15,"9/22/2010",4.08,98,149,"Abstrakt AB:04","15% Imperial Stout"
"13",12.5,"2/19/2011",3.56,40,147,"Abstrakt AB:05","12.5% Imperial Stout"
"14",11.5,"5/16/2011",3.76,97,250,"Abstrakt AB:06","11.5% Black IPA"
"15",12.5,"9/27/2011",3.58,90,165,"Abstrakt AB:07","12.5% Scotch Ale"
"16",11.8,"12/14/2011",3.42,46,185,"Abstrakt AB:08","11.8% American Strong Ale"
"17",17.1,"4/20/2012",3.69,58,127,"Abstrakt AB:09","17.1% Imperial Stout"
"18",11.5,"6/17/2012",3.78,95,204,"Abstrakt AB:10","11.5% American Strong Ale"
"19",12.8,"8/22/2012",3.66,83,172,"Abstrakt AB:11","12.8% Barley Wine"
"20",11.2,"12/28/2012",3.73,97,176,"Abstrakt AB:12","11.2% Belgian Strong Ale"
"21",11.3,"4/22/2013",3.86,88,173,"Abstrakt AB:13","11.3% Imperial Stout"
"22",10.2,"7/26/2013",3.66,98,222,"Abstrakt AB:14","10.2% Weizen Bock"
"23",12.8,"2/26/2014",3.7,91,87,"Abstrakt AB:15","12.8% American Strong Ale"
"24",10.9,"11/28/2014",3.81,90,123,"Abstrakt AB:17","10.9% Imperial Porter"
"25",11.8,"3/17/2015",3.65,86,84,"Abstrakt AB:18","11.8% American Strong Ale"
"26",13.1,"11/11/2015",3.78,97,145,"Abstrakt AB:19","13.1% Saison"
"27",14.2,"4/9/2016",3.75,94,113,"Abstrakt AB:20","14.2% American Strong Ale"
"28",12,"9/21/2016",3.43,24,97,"Abstrakt AB:21","12% Imperial Stout"
"29",4.5,"5/11/2016",3.39,67,183,"Ace of Chinook","4.5% Session IPA"
"30",4.5,"8/17/2016",3.39,65,77,"Ace of Citra","4.5% Session IPA"
"31",4.5,"11/11/2016",3.38,63,61,"Ace of Equinox","4.5% Session IPA"
"32",4.5,"2/26/2016",3.41,71,135,"Ace of Simcoe","4.5% Session IPA"
"33",7.4,"12/18/2015",3.7,99,252,"Albino Squid Assassin","7.4% Specialty Grain"
"34",4.6,"1/12/2016",3.3,48,33,"Alice Porter","4.6% Porter"
"35",5.2,"3/25/2015",3.4,70,166,"Alice Porter","5.2% Porter"
"36",6.2,"10/19/2010",3.55,93,538,"Alice Porter","6.2% Porter"
"37",2.7,"12/13/2014",3.22,99,66,"All Day Long","2.7% Low Alcohol"
"38",4.5,"3/25/2010",3.31,98,174,"Alpha Dog","4.5% Bitter"
"39",3.8,"1/21/2011",3.55,100,12,"Alpha Dog 3.8","3.8% Bitter"
"40",4.6,"4/3/2014",3.28,77,108,"Alpha Pop","4.6% Specialty Grain"
"41",5.2,"12/13/2014",NA,NA,NA,"Alt Amber","5.2% Altbier"
"42",7.4,"4/9/2012",3.17,30,48,"American Saison","7.4% Saison"
"43",4.7,"8/23/2014",3.07,NA,5,"American Wheat","4.7% Wheat Ale"
"44",5.2,"1/12/2016",3.55,73,189,"Arcade Nation","5.2% Black IPA"
"45",8.5,"1/27/2009",3.52,85,128,"Atlantic IPA","8.5% India Pale Ale "
"46",3.6,"11/7/2015",3.19,NA,6,"B-Side Baby Saison","3.6% Saison"
"47",5,"3/31/2016",3.35,92,39,"B-Side Belgian Fruit Ale","5% Fruit Beer"
"48",5.3,"10/31/2015",3.52,67,147,"B-Side Black IPA","5.3% Black IPA"
"49",6.4,"1/30/2016",3.29,NA,5,"B-Side Centennial Willamette Cascade IPA","6.4% India Pale Ale "
"50",7.2,"11/14/2015",3.47,75,10,"B-Side Citrus IPA","7.2% India Pale Ale "
"51",9.2,"2/26/2016",3.68,84,31,"B-Side DIPA","9.2% Imperial IPA"
"52",5,"2/11/2016",3.14,24,12,"B-Side Enigma IPA","5% India Pale Ale "
"53",4.5,"3/17/2016",3.07,71,34,"B-Side Kölsch","4.5% Kölsch"
"54",5,"1/16/2016",2.95,NA,4,"B-Side Lager","5% Pale Lager"
"55",10.4,"11/28/2015",3.42,43,10,"B-Side Mango & Habanero Barley Wine","10.4% Barley Wine"
"56",4.7,"11/16/2015",NA,NA,NA,"B-Side Milk Stout","4.7% Sweet Stout"
"57",5.5,"5/8/2016",3.29,NA,7,"B-Side Passionfruit Berliner","5.5% Berliner Weisse"
"58",4.9,"4/15/2016",2.99,73,10,"B-Side Pils","4.9% Pilsener"
"59",3.6,"12/21/2015",3.17,27,16,"B-Side Raspberry Berliner","3.6% Berliner Weisse"
